STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 01:00,0.00,g, 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 09:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 10:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 12:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 13:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 14:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 15:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 16:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 17:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 18:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 20:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850101 21:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850102 02:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850102 08:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850102 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850102 12:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850102 14:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850102 15:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850102 16:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850102 17:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850105 03:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850105 04:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850105 05:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850105 06:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850105 07:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850105 08:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850107 16:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850107 17:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850107 18:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850107 19:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850107 20:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850107 21:00,0.06, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850107 22:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850108 01:00,0.01, , 
